epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.625,1.33619,1.44872,1.423,0.60132,0.73636,0.75089,0.50591,1.59628,2.68812,1.82034,0.0670044,0.000333289,0.000333289
2,408.765,1.24763,1.22656,1.34408,0.65701,0.68465,0.69029,0.48986,1.39116,1.92822,1.66189,0.0340037,0.000665971,0.000665971
3,614.083,1.20709,1.13697,1.32277,0.54652,0.68578,0.56859,0.4101,1.45642,3.6149,1.73301,0.00100048,0.000996053,0.000996053
