epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.823,0.94433,0.72001,1.09514,0.86501,0.83291,0.84246,0.61789,1.09288,1.11386,1.37456,0.070004,0.00333289,0.00333289
2,390.143,0.98177,0.77121,1.11296,0.78564,0.81521,0.81093,0.58847,1.21275,1.24372,1.39702,0.0398573,0.00651957,0.00651957
3,584.682,1.02292,0.85014,1.13698,0.67078,0.81034,0.72975,0.52465,1.23465,1.51576,1.41586,0.009564,0.00955958,0.00955958
4,779.344,1.06932,0.89417,1.1741,0.71668,0.78609,0.78938,0.56189,1.25527,1.25857,1.45674,0.00934,0.00934,0.00934
5,973.605,1.0587,0.89685,1.16629,0.72098,0.77323,0.73386,0.54494,1.2419,1.30744,1.49127,0.00912,0.00912,0.00912
6,1165.3,1.06537,0.89861,1.17042,0.71814,0.78743,0.70555,0.5262,1.2708,3.36295,1.49129,0.0089,0.0089,0.0089
7,1354.67,1.05005,0.87801,1.16519,0.70246,0.79769,0.70396,0.51626,1.21413,3.82593,1.57816,0.00868,0.00868,0.00868
